review_text,label_kualitas_produk,label_harga,label_kualitas_pengiriman,label_kepuasan_pelanggan,source
"Worth it banget, harga murah tapi kualitas oke. Oh ya, Pengiriman mantap, produk terlindungi dengan baik",0,0,0,0,synthetic
"Harga cukup, tidak berlebihan. Packing buruk, botol parfum retak saat diterima. Tidak seperti yang diiklankan, kualitas jauh di bawah ekspektasi Recommended!",1,2,1,2,synthetic
"Real review: Kualitas biasa saja, sesuai dengan harga yang dibayar. FYI, Senang banget, beli ini keputusan terbaik. FYI, Harga promo Shopee bikin lebih hemat Sekian review dari saya.",2,0,0,0,synthetic
"Harus dibilang, Pengiriman mengecewakan, tracking tidak update berhari-hari. Untuk Kecewa total, tidak ada niat beli lagi. Untuk Parfum ini beneran enak banget wanginya, tahan lama. Untuk Mahal tapi mengecewakan, rugi beli ini GBU!",0,1,1,1,synthetic
"Jujur aja, Kecewa banget, tidak worth it sama sekali. Btw Harga promo sangat membantu, bisa beli lebih. Btw Pengiriman sangat lama, hampir 2 minggu baru sampai. Btw Aromanya mewah dan enak banget, beneran suka Semoga membantu.",0,0,1,1,synthetic
"Parfumnya kurang bagus, tidak sebanding dengan harganya. Btw Pengiriman mantap, produk terlindungi dengan baik. Btw Menyesal banget, uang terbuang sia-sia",1,0,0,1,synthetic
"Harganya segitu ya, masih bisa diterima. Dan Oke-oke aja, standar",2,2,2,2,synthetic
"Jujur aja, Standar aja, bisa beli lagi kalau ada diskon. Dari segi Parfumnya wangi banget, tahan lama seharian GBU!",0,1,0,2,synthetic
"Pengalaman saya: Packing jelek banget, parfum sampai dalam kondisi pecah. Oh ya, Botol cantik dan elegan, parfumnya enak banget dipakai. Oh ya, Harganya mahal banget untuk kualitas yang biasa aja. Oh ya, Menyesal banget, uang terbuang sia-sia",0,1,1,1,synthetic
"Update: Packing biasa, cukup aman. Biasa saja sih, tidak terlalu puas tidak terlalu kecewa. Harganya segitu ya, masih bisa diterima. Kualitas parfumnya biasa aja sih, standar Sekian review dari saya.",2,2,2,2,synthetic
"Menurut saya, Lumayan lah, masih bisa diterima. Oh ya, Lumayan cepat, packaging oke lah. Oh ya, Wangi cukup enak, tapi tidak sampai wow. Oh ya, Harga normal aja, tidak ada yang spesial Sekian review dari saya.",2,2,2,2,synthetic
"overall wangi cukup enak, tapi tidak sampai wow. dari segi sangat kecewa, tidak akan beli lagi. dari segi harga tinggi tapi parfumnya biasa aja, tidak worth 5 bintang layak!",2,1,2,1,synthetic
"Setelah dicoba: Biasa aja, mungkin beli lagi mungkin tidak. Dari segi Botol bocor karena packing tidak memadai Kecewa.",1,2,1,2,synthetic
"Update: Pengiriman buruk, packing tidak standar. Dan Menyesal banget beli produk ini. Dan Harga tidak sesuai dengan kualitas yang didapat Terima kasih.",1,1,1,1,synthetic
"OVERALL KURIR LAMBAT DAN TIDAK RESPONSIF, KECEWA. TAPI TIDAK MEREKOMENDASIKAN, BANYAK YANG LEBIH BAIK MANTAP POKOKNYA!",1,1,1,1,synthetic
"Kalau kata saya, Harga normal tapi kualitas di atas rata-rata. Dan Pengiriman biasa saja, tidak ada yang istimewa",0,0,2,0,synthetic
"Pengiriman biasa saja, tidak ada yang istimewa. Untuk Beli lagi pasti, produk ini tidak mengecewakan. Untuk Aromanya mewah dan enak banget, beneran suka 5 bintang layak!",0,0,2,0,synthetic
"HONEST REVIEW: KECEWA BANGET, TIDAK WORTH IT SAMA SEKALI. FYI, PENGIRIMAN KILAT, SAMPAI DALAM KONDISI BAIK GBU!",1,1,0,1,synthetic
"Harus dibilang, Tidak worth it, harga segitu harusnya dapat yang lebih bagus. Kualitas produk buruk, kemasan juga rusak. Kecewa total, tidak ada niat beli lagi. Pengiriman molor jauh dari estimasi, mengecewakan Mantap pokoknya!",1,1,1,1,synthetic
"Terus terang, Sangat kecewa, tidak akan beli lagi. Kualitas produknya sangat baik, wangi awet dan tidak bikin mual. Parfum bocor karena packing tidak rapat Recommended!",0,0,1,1,synthetic
"JUJUR AJA, PENGIRIMAN MENGECEWAKAN, TRACKING TIDAK UPDATE BERHARI-HARI, KECEWA PARAH, TIDAK BELI LAGI DI SINI, SANGAT KECEWA DENGAN KUALITAS PRODUKNYA, TIDAK AKAN BELI LAGI GBU!",1,1,1,1,synthetic
"Honest review: Kapok beli di sini, total mengecewakan. Dan Overpriced banget, ada yang lebih murah dengan kualitas sama. Dan Pengiriman buruk, packing tidak standar Semoga berguna.",0,1,1,1,synthetic
"Kalau kata saya, Kualitas bagus banget, beda sama parfum abal-abal. Btw Sangat satisfied, produk terbaik pilihanku Tidak direkomendasikan.",0,2,0,0,synthetic
"Review jujur: Kualitas produk cukup oke, sesuai harga. Sementara Sangat tidak puas, komplain tapi tidak direspons",2,2,2,1,synthetic
"Menurut saya, Murah tapi tidak murahan, senang dapat harga segini. Dari segi Beli lagi pasti, produk ini tidak mengecewakan. Dari segi Pengiriman super cepat, kurang dari 24 jam sudah sampai 5 bintang layak!",0,0,0,0,synthetic
"Review jujur: Produknya oke banget, wangi segar dan tahan sampai malam. Btw Kepuasan 100%, tidak ada yang perlu dikeluhkan Recommended!",0,0,1,0,synthetic
"Overall Murah banget untuk parfum sekelas ini. Untuk Biasa aja, mungkin beli lagi mungkin tidak. Untuk Wanginya harum, botolnya keren dan premium banget Tidak direkomendasikan.",0,0,1,2,synthetic
"Terus terang, Parfumnya top markotop, aroma berkelas. Dan Puas banget, sudah beli 3 kali dan tetap puas. Dan Harga tinggi tapi parfumnya biasa aja, tidak worth Semoga review ini bermanfaat!",0,1,0,0,synthetic
"Update: Tidak seperti yang diiklankan, kualitas jauh di bawah ekspektasi. Dari segi Cukup memuaskan, tidak lebih tidak kurang. Dari segi Harga cukup, tidak berlebihan. Dari segi Kurir lambat dan tidak responsif, kecewa GBU!",1,2,1,2,synthetic
"Honest review: Kualitas parfumnya biasa aja sih, standar. FYI, Overpriced banget, ada yang lebih murah dengan kualitas sama. FYI, Sampai tepat waktu, packing cukup memadai",2,1,2,1,synthetic
"Honest review: Pengiriman memuaskan, kurir responsif. Happy dan tidak menyesal, top banget. Ekonomis banget, tidak menguras kantong. Wangi parfumnya juara banget, tidak mengecewakan Mantap pokoknya!",0,0,0,0,synthetic
"Harus dibilang, Harga tidak sebanding dengan kualitas produk. Dan Nyesel banget beli ini, buang-buang uang. Dan Pengiriman sangat lambat, sampai seminggu baru tiba. Dan Kualitas jelek banget, langsung hilang wanginya dalam 1 jam",1,1,1,1,synthetic
"review jujur: harga normal tapi kualitas di atas rata-rata. tapi produknya berkualitas tinggi, wanginya lembut dan elegan. tapi sampai tepat waktu, packing cukup memadai. tapi tidak puas sama sekali, rugi waktu dan uang",0,0,2,1,synthetic
"jujur aja, harga tidak sebanding dengan kualitas produk. botol bocor karena packing tidak memadai. parfumnya sudah expired kayaknya, baunya tidak enak semoga berguna.",1,1,1,1,synthetic
"Menurut saya, Produknya berkualitas tinggi, wanginya lembut dan elegan. Dan Packing aman banget, botol tidak pecah sama sekali. Dan Netral aja perasaannya, tidak istimewa. Dan Worth it banget, harga murah tapi kualitas oke Terima kasih.",0,0,0,2,synthetic
"Real review: Parfumnya oke lah, cukup untuk pemakaian harian. Dan Packing aman banget, botol tidak pecah sama sekali. Dan Puas dan akan jadi repeat buyer setia. Dan Harganya pas banget, tidak terlalu mahal tidak terlalu murah 5 bintang layak!",2,0,0,0,synthetic
"Pengiriman sesuai ekspektasi, biasa saja, Parfumnya oke lah, cukup untuk pemakaian harian, Harganya segitu ya, masih bisa diterima Sekian review dari saya.",2,2,2,2,synthetic
