review_text,label_kualitas_produk,label_harga,label_kualitas_pengiriman,label_kepuasan_pelanggan
"Tekstur:cair Performa:kemasan keren, simple tapi mewwaaahh Cocok Untuk:remaja maupun ibu2 krn soft banget Ini parfum emang bukan yg mehong banget, affordable, tapi wanginya ga murahan. Wanginya mahaaall ciiiinn. Wajibbb punya, walopun harus war rebutan sama ribuan orang lain nya sih yaaaa ?? Pokoknya sukses terus buat MyKonos, moga ke depan ada collabs2 lagi dan varian2 yg lebih kece badai lagiii",0,0,0,0
"Cocok Untuk:daily sih cocok banget ini Tekstur:cair Performa:sedang dicoba semoga yg ini awetnya lamaaaa botolnya cakeeepp beda dari yg lain, warnanya cantiiikkk semprotan pertama langsung semerbak aroma yg bener2 fresh, bikin mood, buat aku yg suka wangi2 seger ini bener2 sukses bikin aku jatuh cinta ????",0,0,0,0
my first blind purchase and i never ever regret it !! beruntung menjadi salah satu orang yg mendapatkan mahakarya ini ?? dari boxnya aja udah terlihat secantik ini dan begitu lihat botolnya semacam botol parfum super mevvah . begitu parfumnya disemprot =\+<|•|!\•=\<\£.¥\=\<\'•[+%]£|' speechless !!!,0,0,0,0
"Pengiriman mantap, ga sampee 24 jam! Packaging oke dan sangat aman, botol oke bgt lucu. Ketahanan parfum bisa sampe lebih dr 24 jam baik aktivitas in/outdor. Wangi citrusnya seger diawal lama2 menyesuaikan sama suhu tubuh jadi makin enak jadi lembut. Dapet bonus pula.",0,0,0,0
"Cocok Untuk:wanita Performa:bagus Tekstur:cair Packagingnya bagus banget,boxnya mewah motif bunga bunga,kaya parfum mahal padahal 200 ribuan,terus di kasih bonus satu buah parfum gratis,tapi kayaknya yang wanginya paling mewah emang si Echanted ini di mykonos,pengin nyoba yang varian Violet tapi kayaknya udah nggak restock yaa,ini tulisannya pre order tapi aslinya 2 hari udah di kirim cepet juga nyampenya,Terima kasih buat admin mykonos kalau bisa buat varian lain yang aromanya lebih fresh,girly,soft floral gitu",0,0,0,0
"Gila sih Udh nyoba jg make parfum ini pas maen badminton, menurutku aromanya tahan, nempel di kulit+pakaian, ga nabrak juga wanginya sama handbodyku. Nyatu malahan Terus tahan loh wanginya walau kena keringat :D Daaannn Packagenya ok bgt!! Thankyou!",0,0,0,0
"Parfum ke 4 ku dr Mykonos, dan semuanya blind buy! Semua wanginya gak ada yg zonk, enak bgt!? Nah kalau enchanted ini harumnya supadupa segerrr! Tiap pake kayak abis mandi ?? Botolnya selalu cantik ditambah dpt pouch buat botolnya pas banget! Luvvv banyak banyak! ?????",0,0,0,0
"Performa:wangiii seger Cocok Untuk:siang hari kondisi apapun Tekstur:cairr Wanginya bangett seger dan tahan lama, buat yg suka seger bunga dan manis ini cocok banget tp ga yg nyegrak ke idunh baunya, kotaknya juga bagus dapat free edt slow living sm vial aphrodite Unch akan aku jadikan parfum untuk wedding?????? Btw ini susah bgt nunggu restok alhamdulillah masih rezeki wkwk",0,0,0,0
"Tekstur:sedikit oily Performa:belum dicoba tp sepertinya tahan lama Cocok Untuk:daily maupun acara2 formal no words can describe this parfume!! sama kyk yg udh review enchanted sebelumnya, recommended dan gak ngecewain sama sekaliii, mykonos bener2 totalitas, gak main2 sm kualitas dan harga selalu menyesuaikan isi kantong, pokok e mantepp????????",0,0,0,0
"Tekstur:ringan Performa:bguss Cocok Untuk:bisa cwo juga si Ahhh seneng bngt parfum yg ditunggu dteng, entahlah ini parfum Mykonos yg keberapa ga pernah nyesel beli parfum Mykonos selalu bestttt",0,0,0,1
"Tekstur:cair Performa:wangi elegant Cocok Untuk:unisex Parfum terbaik yg pernah dipunya ngalahin parfum yg jutaan .,. Beberapa kali ikut war ga pernah dapet ., dan kali ini dapet infonya sii PO ternyata gak .,. Seneng banget.,. Baru kasih penilaian karna biar dicobain dulu dipake seharian .,. Tiap lewat orng langsung bilang wangi banget ????????????",0,0,0,0
Cocok Untuk:pria & wanita Tekstur:cair Performa:wangi bgt Keracunan rachel venya Mau liat story di ig Langsung buru² chek out Ternyata wangi nya parah Mewah....mewah bgt Jgn ragu utk parfume ini Pengirimannya cpt bgt Dikasi tester Packingan nya bagus bgt Keliatan dr botolnya parfume mahal Harga merakyat Makasi sis,0,1,0,0
