review_text,label_kualitas_produk,label_harga,label_kualitas_pengiriman,label_kepuasan_pelanggan,source
"Honest review: Produknya berkualitas tinggi, wanginya lembut dan elegan. Soal Harga sangat bersahabat, ramah di kantong. Soal Beli lagi lagi dan lagi, selalu puas. Soal Pengiriman cepat, produk aman sampai tujuan Sekian review dari saya.",0,0,0,0,synthetic
"Yaampun packagingnya selalu bomb.com, wanginya enak deh ga bkin eneg! Ckup tahan lama sih tp ngga yg sampe lama bgttt tergantung aktivitas. Loveittt!!",0,0,0,0,original
"Aroma:floral Tekstur:bagus Kegunaan:cocok digunakan sehari hari Setelah nunggu berapa purnama akhirnya restock yg 100 ml. Wanginya fresh, cantik banget. Ada bonusnya juga. Tapi tutup botol bonusnya longgar jadinya isinya tumpah diperjalanan.",0,0,0,0,original
"Performa:kukira po lama ternyata ngga Cocok Untuk:aktivitas lama Tekstur:cair SUMPAH SUKA BANGET BOX NYA CANTIK!!! Wanginya cenderung floral fresh gaterlalu musky menurutku, tahan lama. Tapi press parfumnya itu copot ga kenceng",0,0,0,0,original
"KALAU KATA SAYA, PARFUMNYA PALSU KAYAKNYA, WANGINYA BEDA JAUH DARI ASLI. UNTUK KECEWA TOTAL, TIDAK ADA NIAT BELI LAGI",1,1,1,1,synthetic
"penasaran sama wanginya sebenernya sweet tapi juga seger, ternyata wanginya faint gitu bukan yang nyengat banget menurutku, awalnya kaya wangi parfum lain tapi lama lama makin soft dan makin enak sih, dapet tester yang stilletos dan wanginya lebih enak menurutku, wanginya sweet tapi ga over dan unisex gt. semoga beneran awet wanginya soalnya ini extrait de parfum",0,0,0,0,original
"pengalaman saya: harga lumayan, sesuai pasaran. untuk biasa aja, mungkin beli lagi mungkin tidak. untuk pengiriman normal, tidak terlalu cepat tidak terlalu lambat tidak direkomendasikan.",2,2,2,2,synthetic
"Kalau kata saya, Bahagia banget dapet produk ini, sukses buat Mykonos. Btw Produknya oke banget, wangi segar dan tahan sampai malam. Btw Mahal tapi mengecewakan, rugi beli ini. Btw Kurir cepat, packing double bubble wrap sangat aman Semoga review ini bermanfaat!",0,1,0,0,synthetic
"Wangi segar, kemasannya mewah, mudah di aplikasikan, wangi tahan lama",0,0,0,0,original
akhirnyaaaa DTG juga yg ditunggu2 sumpah ini enak bgtt bgt ?? wangi floral Peony x Mandarin orange bagus dipakai pas siang atau pagi Krn se soft and fresh itu smooth bgt wanginya wish list bulan2 kemarin kebeli juga ????,0,0,0,0,original
"Real review: Produk tidak original, kayak tiruan murahan. Untuk Harganya kemahalan, harusnya bisa lebih murah. Untuk Pembeli kecewa, tidak akan kembali berbelanja Tidak direkomendasikan.",1,1,2,1,synthetic
"REVIEW JUJUR: PARFUM BOCOR KARENA PACKING TIDAK RAPAT. FYI, HARGANYA TERJANGKAU BANGET UNTUK KUALITAS SEGITU MANTAP POKOKNYA!",0,0,1,2,synthetic
"OVERALL WANGI PARFUMNYA JUARA BANGET, TIDAK MENGECEWAKAN. BTW OKE-OKE AJA, STANDAR SEMOGA BERGUNA.",0,0,1,2,synthetic
"produk tidak original, kayak tiruan murahan. oh ya, pengalaman belanja terburuk, tidak puas semoga review ini bermanfaat!",1,1,1,1,synthetic
"Overall Lama banget sampainya, padahal jarak tidak terlalu jauh. Tapi Parfum ini beneran enak banget wanginya, tahan lama 5 bintang layak!",0,0,1,1,synthetic
"Tekstur:cair Performa:sempurna Cocok Untuk:semua jenis kulit Suka sekali kemasannya kereeen, wanginya haruuum sekali semoga awet pokoknya puas banget mksh saller next order lagi klu sudah abis",0,0,0,0,original
"Terus terang, Parfum bocor karena packing tidak rapat. Btw Nyesel banget beli ini, buang-buang uang. Btw Harga tinggi tapi parfumnya biasa aja, tidak worth. Btw Parfumnya top markotop, aroma berkelas 5 bintang layak!",0,1,1,1,synthetic
"Kalau kata saya, Harganya murah, kualitas tidak murahan, Lumayan lah, masih bisa diterima 5 bintang layak!",0,0,1,2,synthetic
"Performa:wanginya soft bgt , enak gak bikin eneg Awalnya coba2 karna rame di IG , akhirnya coba beli dan ternyata ini enak bgt wanginya , soft gtu gak bikin eneg , dan untuk packaging nya mewah untuk hrga segini , puas bgt sih beli nya.. kebetulan lg cari buat di seserahan oktober nanti ????????",0,0,0,0,original
"Dapet harga 180, dapet bonus jga, makasi ka ????????????",0,0,0,0,original
"Harus dibilang, Kapok beli di sini, total mengecewakan. Sedangkan Botol bocor karena packing tidak memadai Tidak direkomendasikan.",0,1,1,1,synthetic
"Setelah dicoba: Kualitas produknya sangat baik, wangi awet dan tidak bikin mual, Oke-oke aja, standar, Pengiriman lambat banget, tidak sesuai estimasi sama sekali Sekian review dari saya.",0,0,1,2,synthetic
"Aroma parfumnya premium, seperti parfum mahal padahal terjangkau. Dari segi Netral aja perasaannya, tidak istimewa Kecewa.",0,1,0,2,synthetic
Aroma:harum banget floral dan tahan lama Tekstur:lembut Kegunaan:sangat cocok untuk sehari hari dan pergi,0,0,0,0,original
"update: kecewa banget, tidak worth it sama sekali. btw parfumnya palsu kayaknya, wanginya beda jauh dari asli kecewa.",1,1,1,1,synthetic
"Review jujur: Parfumnya bagus, packaging mewah, cocok buat hadiah. Tapi Sampai dalam kondisi mulus, pengiriman tepat waktu",0,0,0,1,synthetic
"Gabisa bilang apa pokoknya bintang 5 dehh buat parfum ini, ga rugi and very worth to repurchase. Thank you buat free giftnya seller, free gift tapi wanginya juga enak bgt dan multipurpose.",0,0,0,0,original
"Barang lecet dan penyok karena packing tidak baik, Wanginya terlalu menyengat dan bikin pusing, Harganya terjangkau banget untuk kualitas segitu, Sangat kecewa, tidak akan beli lagi",1,0,1,1,synthetic
